Li,Be,B,C,Mg,Al,Si,P,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Y,Zr,Nb,Mo,Pd,Ag,In,Sn,La,Ce,Pr,Nd,Sm,Gd,Tb,Dy,Ho,Er,Tm,Lu,Hf,Ta,W,Pt,Au,index,Dmax
0.0,0.0,0.0,0.0,0.004829787,0.0,0.0,0.0,0.005808511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9787234,1.5
0.0,0.0,0.0,0.0,0.0,0.0014583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00875,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9791667,10.0
0.0,0.0,0.0,0.0,0.004081633,0.0,0.0,0.0,0.013265305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030612247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97959185,2.0
0.0,0.0,0.0038400001,0.0,0.0,0.0,0.00096000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01008,0.0043200003,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,3.5
0.0,0.0,0.0043137255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333334,0.0,0.0007843137,0.0,0.0,0.0,0.0011764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98039216,1.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00848077,0.0,0.0,0.0,0.0,0.0,0.0013569231,0.007123846,0.0,0.0,0.0,0.0018846153,0.0,0.0,0.0,0.0,0.0,0.00038461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9807692,2.0
0.0,0.0,0.004339623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013396226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011320754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9811321,1.5
0.0,0.0,0.0,0.0,0.0,0.0018518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046296297,0.0,0.0,0.0,0.011111111,0.0,0.0,0.0,0.00092592597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9814815,4.0
0.0,0.0,0.0052956366,0.0017652727,0.0,0.0,0.0035303636,0.007060909,0.0,0.0,0.0,0.0,0.0,0.0,0.00017654545,0.00017654545,0.00017654545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9818182,1.5
0.0017303572,0.0,0.0,0.0,0.0014839285,0.0,0.0,0.0,0.011607142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030357144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98214287,3.0
0.0,0.0,0.0,0.0,0.0,0.0014035087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063157897,0.0,0.0,0.0,0.0077192984,0.00070175435,0.0,0.0,0.0014035087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98245615,9.0
0.0,0.0,0.0,0.0,0.0,0.0012068965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007931035,0.0,0.0,0.0017241379,0.0063793105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98275864,4.0
0.0,0.0,0.0,0.0,0.0,0.0027118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008474576,0.0008474576,0.0016949152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005423729,0.005423729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9830508,12.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007166667,0.0,0.0,0.0,0.007166667,0.0,0.0,0.0,0.0011666666,0.0011666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98333335,5.0
0.0,0.0,0.0,0.0,0.0,0.0013114754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059016393,0.0,0.0,0.0,0.0072131148,0.0,0.0,0.0,0.0013114754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006557377,0.9836066,20.0
0.0,0.0,0.0,0.0,0.0,0.0011290322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074193547,0.0,0.0,0.0,0.007580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983871,3.0
0.0,0.0,0.003047619,0.0,0.0,0.0,0.00076190475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010819047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006349206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00060952385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984127,3.5
0.0,0.0,0.000625,0.000625,0.0,0.0,0.00046875,0.0015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0121875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984375,1.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009230769,0.0,0.0,0.0,0.0,0.0,0.006153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9846154,1.0
0.0,0.0,0.0,0.0,0.0,0.0012121212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009090909,0.0024242424,0.0,0.0,0.0,0.010606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9848485,6.0
